ID,EZI_ROAD_NAME,ROAD_NAME,ROAD_TYPE,AGE_LESS_THAN_15YRS_PCNT,AGE_15_24YRS_PCNT,AGE_25_44YRS_PCNT,AGE_45_64YRS_PCNT,AGE_18YRS_OVER_PCNT,AGE_65YRS_OVER_PCNT,SEO_PERSONS_PCNT,FC_COUPLE_NO_CHILDREN_PCNT,FC_COUPLE_WITH_CHILDREN_PCNT,FC_SINGLE_PARENT,CARS_ZERO_HH_PCNT,CARS_ONE_HH_PCNT,CARS_TWO_OR_MORE_HH_PCNT,DWELLING_SEP_HOUSE_PCNT,DWELLING_SEMID_RO_OR_TCE_H_TH_P,DWELLING_FLAT_UNIT_APART_PCNT,OCCUPATION_WHITE_COLLAR_PCNT,OCCUPATION_BLUE_COLLAR_PCNT,SEIFA,Commercial%,Industrial%,Residential%,Parkland%,Primary_Production%,Lq_Licenses,Intersection,Supermarket,primary_school,secondary_school,km_post,traffic_signal,Blackspot
3699,GROVE ROAD,GROVE,ROAD,0.121987952,0.05873494,0.228915663,0.269578313,0.853915663,0.320783133,0.769465649,0.575757576,0.303030303,0.075757576,0.068493151,0.429223744,0.461187215,0.745454545,0.059090909,0.122727273,0.695205479,0.284246575,1037,0.243678789,0,0.267289038,0.358321242,0,14,non-Intersection,0,0,0,0,0,Blackspot
576,BACCHUS MARSH ROAD,BACCHUS MARSH,ROAD,0.21589404,0.141721854,0.312582781,0.201324503,0.741721854,0.128476821,0.797940798,0.401869159,0.518691589,0.126168224,0.011450382,0.22519084,0.721374046,1,0,0,0.713924051,0.265822785,1032,0,0,0,0,1,0,Intersection,0,0,0,1,0,Blackspot
758,GRUBBED ROAD,GRUBBED,ROAD,0.185303514,0.102236422,0.194888179,0.348242812,0.757188498,0.169329073,0.950310559,0.505154639,0.360824742,0.103092784,0,0.177570093,0.785046729,1,0,0,0.641221374,0.305343511,1001,0,0,0,1,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
89,VIGOR STREET,VIGOR,STREET,0.167763158,0.0625,0.286184211,0.322368421,0.815789474,0.161184211,0.818791946,0.454545455,0.363636364,0.227272727,0.054545455,0.372727273,0.545454545,1,0,0,0.72,0.312,998,0,0,0.963401488,0.036598512,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
8773,FAIRMAN ROAD,FAIRMAN,ROAD,0.20123839,0.108359133,0.204334365,0.340557276,0.761609907,0.145510836,0.852201258,0.431578947,0.484210526,0.052631579,0,0.115384615,0.884615385,1,0,0,0.688622754,0.329341317,1049,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
5731,MOE-RAWSON ROAD,MOE-RAWSON,ROAD,0.144578313,0.072289157,0.162650602,0.403614458,0.828313253,0.21686747,0.855384615,0.5,0.371794872,0.076923077,0.066666667,0.214814815,0.696296296,0.968992248,0,0,0.613138686,0.437956204,938,0,0,0,0.265924662,0.734075338,0,non-Intersection,0,0,0,1,0,non-Blackspot
4928,ANDERSON STREET,ANDERSON,STREET,0.210619469,0.09380531,0.277876106,0.276106195,0.755752212,0.14159292,0.953571429,0.418300654,0.464052288,0.137254902,0,0.237864078,0.708737864,1,0,0,0.55078125,0.390625,950,0,0,0.888426931,0.111573069,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
6127,BENNETT STREET,BENNETT,STREET,0.14334471,0.09556314,0.208191126,0.303754266,0.829351536,0.249146758,0.863013699,0.4,0.384615385,0.230769231,0.075,0.491666667,0.375,0.619047619,0.301587302,0.055555556,0.596330275,0.403669725,880,0,0,1,0,0,0,Intersection,0,0,0,0,0,Blackspot
4140,PIER ROAD,PIER,ROAD,0.15,0.057142857,0.2,0.297619048,0.823809524,0.295238095,0.898104265,0.584070796,0.238938053,0.159292035,0.064516129,0.424731183,0.456989247,0.935828877,0.032085561,0.016042781,0.658385093,0.354037267,977,0,0,1,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
3864,GORDON STREET,GORDON,STREET,0.219336219,0.096681097,0.222222222,0.25974026,0.735930736,0.202020202,0.891176471,0.350282486,0.384180791,0.231638418,0.058365759,0.377431907,0.517509728,0.96969697,0.018939394,0,0.603636364,0.356363636,907,0,0,1,0,0,1,Intersection,0,0,0,0,0,Blackspot
